variable,dataset_name,source_org,raw_file,raw_indicator_name,transform_note,key,sub_source_note
"Revenues at Risk in Disclosing Firms|ECTFK|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Revenues at Risk in Disclosing Firms|Constant Assets/Revenues|Not applicable|Delayed transition",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/20_RevenuesAssets_at_Risk_in_Disclosing_Firms.csv,Revenues at Risk in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Revenues at Risk in Disclosing Firms|ECTFK|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Revenues at Risk in Disclosing Firms|Constant Assets/Revenues|Not applicable|Divergent Net Zero",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/20_RevenuesAssets_at_Risk_in_Disclosing_Firms.csv,Revenues at Risk in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Revenues at Risk in Disclosing Firms|ECTFK|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Revenues at Risk in Disclosing Firms|Constant Assets/Revenues|Not applicable|Nationally Determined Contributions (NDCs)",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/20_RevenuesAssets_at_Risk_in_Disclosing_Firms.csv,Revenues at Risk in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Revenues at Risk in Disclosing Firms|ECTFK|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Revenues at Risk in Disclosing Firms|Constant Assets/Revenues|Not applicable|Net Zero 2050",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/20_RevenuesAssets_at_Risk_in_Disclosing_Firms.csv,Revenues at Risk in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Revenues at Risk in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Below 2°C,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/20_RevenuesAssets_at_Risk_in_Disclosing_Firms.csv,Revenues at Risk in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Revenues at Risk in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Current Policies,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/20_RevenuesAssets_at_Risk_in_Disclosing_Firms.csv,Revenues at Risk in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Revenues at Risk in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Delayed transition,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/20_RevenuesAssets_at_Risk_in_Disclosing_Firms.csv,Revenues at Risk in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Revenues at Risk in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Divergent Net Zero,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/20_RevenuesAssets_at_Risk_in_Disclosing_Firms.csv,Revenues at Risk in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Revenues at Risk in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Nationally Determined Contributions (NDCs),IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/20_RevenuesAssets_at_Risk_in_Disclosing_Firms.csv,Revenues at Risk in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Revenues at Risk in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Net Zero 2050,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/20_RevenuesAssets_at_Risk_in_Disclosing_Firms.csv,Revenues at Risk in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Share of forest area|Percent|ECMFD|Environment, Climate Change, Mitigation, Forest and Carbon, Share of Forest Land",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/29_Forest_and_Carbon.csv,Share of forest area,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Shrub-covered areas|1000 HA|ECCCC|Shrub-Covered Areas|Environment, Climate Change, Climate and Weather, Land Cover Accounts, Shrub-Covered Areas|Climate regulating",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/28_Land_Cover_Accounts.csv,Shrub-covered areas,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded|1000 HA|ECCCV|Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded|Environment, Climate Change, Climate and Weather, Land Cover Accounts, Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded|Climate regulating",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/28_Land_Cover_Accounts.csv,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Solar energy|Total Renewable|Electricity Generation|Gigawatt-hours (GWh)|Electricity Generation|ECNEG|Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/5_Energy_Transition.csv,Electricity Generation,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Solar energy|Total Renewable|Electricity Installed Capacity|Megawatt (MW)|Electricity Installed Capacity|ECNEC|Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/5_Energy_Transition.csv,Electricity Installed Capacity,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Sparsely natural vegetated areas|1000 HA|ECCCN|Sparsely Natural Vegetated Areas|Environment, Climate Change, Climate and Weather, Land Cover Accounts, Sparsely Natural Vegetated Areas|Climate neutral",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/28_Land_Cover_Accounts.csv,Sparsely natural vegetated areas,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Taxes on Energy (including fuel for transport)|ECGTEN|Taxes on Energy (Including Fuel for Transport)|Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Energy (Including Fuel for Transport)|Domestic Currency",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/22_Environmental_Taxes.csv,Taxes on Energy (including fuel for transport),Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Taxes on Energy (including fuel for transport)|ECGTEN|Taxes on Energy (Including Fuel for Transport)|Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Energy (Including Fuel for Transport)|Percent of GDP",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/22_Environmental_Taxes.csv,Taxes on Energy (including fuel for transport),Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Taxes on Pollution|ECGTEP|Taxes on Pollution|Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Pollution|Domestic Currency",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/22_Environmental_Taxes.csv,Taxes on Pollution,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Taxes on Pollution|ECGTEP|Taxes on Pollution|Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Pollution|Percent of GDP",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/22_Environmental_Taxes.csv,Taxes on Pollution,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Taxes on Resources|ECGTER|Taxes on Resources|Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Resources|Domestic Currency",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/22_Environmental_Taxes.csv,Taxes on Resources,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Taxes on Resources|ECGTER|Taxes on Resources|Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Resources|Percent of GDP",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/22_Environmental_Taxes.csv,Taxes on Resources,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Taxes on Transport (excluding fuel for transport)|ECGTET|Taxes on Transport (Excluding Fuel for Transport)|Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Transport (Excluding Fuel for Transport)|Domestic Currency",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/22_Environmental_Taxes.csv,Taxes on Transport (excluding fuel for transport),Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Taxes on Transport (excluding fuel for transport)|ECGTET|Taxes on Transport (Excluding Fuel for Transport)|Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Transport (Excluding Fuel for Transport)|Percent of GDP",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/22_Environmental_Taxes.csv,Taxes on Transport (excluding fuel for transport),Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Terrestrial barren land|1000 HA|ECCCT|Terrestrial Barren Land|Environment, Climate Change, Climate and Weather, Land Cover Accounts, Terrestrial Barren Land|Climate neutral",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/28_Land_Cover_Accounts.csv,Terrestrial barren land,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total GHG emissions excluding land-use, land-use change and forestry|ECNGDE|Total GHG Emissions Excluding Land-Use and Land-Use Change and Forestry|Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Total GHG Emissions Excluding Land-Use and Land-Use Change and Forestry|Not Applicable|Carbon dioxide",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/3_National_Greenhouse_Gas_Emissions_Inventories_and_Implied_National_Mitigation_Nationally_Determined_Contributions_Targets.csv,"Total GHG emissions excluding land-use, land-use change and forestry",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total GHG emissions excluding land-use, land-use change and forestry|ECNGDE|Total GHG Emissions Excluding Land-Use and Land-Use Change and Forestry|Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Total GHG Emissions Excluding Land-Use and Land-Use Change and Forestry|Not Applicable|Fluorinated gases",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/3_National_Greenhouse_Gas_Emissions_Inventories_and_Implied_National_Mitigation_Nationally_Determined_Contributions_Targets.csv,"Total GHG emissions excluding land-use, land-use change and forestry",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total GHG emissions excluding land-use, land-use change and forestry|ECNGDE|Total GHG Emissions Excluding Land-Use and Land-Use Change and Forestry|Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Total GHG Emissions Excluding Land-Use and Land-Use Change and Forestry|Not Applicable|Greenhouse gas",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/3_National_Greenhouse_Gas_Emissions_Inventories_and_Implied_National_Mitigation_Nationally_Determined_Contributions_Targets.csv,"Total GHG emissions excluding land-use, land-use change and forestry",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total GHG emissions excluding land-use, land-use change and forestry|ECNGDE|Total GHG Emissions Excluding Land-Use and Land-Use Change and Forestry|Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Total GHG Emissions Excluding Land-Use and Land-Use Change and Forestry|Not Applicable|Methane",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/3_National_Greenhouse_Gas_Emissions_Inventories_and_Implied_National_Mitigation_Nationally_Determined_Contributions_Targets.csv,"Total GHG emissions excluding land-use, land-use change and forestry",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total GHG emissions excluding land-use, land-use change and forestry|ECNGDE|Total GHG Emissions Excluding Land-Use and Land-Use Change and Forestry|Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Total GHG Emissions Excluding Land-Use and Land-Use Change and Forestry|Not Applicable|Nitrous oxide",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/3_National_Greenhouse_Gas_Emissions_Inventories_and_Implied_National_Mitigation_Nationally_Determined_Contributions_Targets.csv,"Total GHG emissions excluding land-use, land-use change and forestry",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total GHG emissions including land-use, land-use change and forestry|ECNGDI|Total GHG Emissions Including Land-Use and Land-Use Change and Forestry|Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Total GHG Emissions Including Land-Use and Land-Use Change and Forestry|Not Applicable|Carbon dioxide",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/3_National_Greenhouse_Gas_Emissions_Inventories_and_Implied_National_Mitigation_Nationally_Determined_Contributions_Targets.csv,"Total GHG emissions including land-use, land-use change and forestry",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total GHG emissions including land-use, land-use change and forestry|ECNGDI|Total GHG Emissions Including Land-Use and Land-Use Change and Forestry|Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Total GHG Emissions Including Land-Use and Land-Use Change and Forestry|Not Applicable|Fluorinated gases",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/3_National_Greenhouse_Gas_Emissions_Inventories_and_Implied_National_Mitigation_Nationally_Determined_Contributions_Targets.csv,"Total GHG emissions including land-use, land-use change and forestry",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total GHG emissions including land-use, land-use change and forestry|ECNGDI|Total GHG Emissions Including Land-Use and Land-Use Change and Forestry|Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Total GHG Emissions Including Land-Use and Land-Use Change and Forestry|Not Applicable|Greenhouse gas",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/3_National_Greenhouse_Gas_Emissions_Inventories_and_Implied_National_Mitigation_Nationally_Determined_Contributions_Targets.csv,"Total GHG emissions including land-use, land-use change and forestry",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total GHG emissions including land-use, land-use change and forestry|ECNGDI|Total GHG Emissions Including Land-Use and Land-Use Change and Forestry|Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Total GHG Emissions Including Land-Use and Land-Use Change and Forestry|Not Applicable|Methane",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/3_National_Greenhouse_Gas_Emissions_Inventories_and_Implied_National_Mitigation_Nationally_Determined_Contributions_Targets.csv,"Total GHG emissions including land-use, land-use change and forestry",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total GHG emissions including land-use, land-use change and forestry|ECNGDI|Total GHG Emissions Including Land-Use and Land-Use Change and Forestry|Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Total GHG Emissions Including Land-Use and Land-Use Change and Forestry|Not Applicable|Nitrous oxide",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/3_National_Greenhouse_Gas_Emissions_Inventories_and_Implied_National_Mitigation_Nationally_Determined_Contributions_Targets.csv,"Total GHG emissions including land-use, land-use change and forestry",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total trade in environmental goods as percent of GDP|Percent|ECBTG|Trade in Environmental Goods|Environment, Climate Change, Cross-Border, Trade-Related, Trade in Environmental Goods|Not Applicable",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/7_Trade_in_Environmental_Goods.csv,Total trade in environmental goods as percent of GDP,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total trade in environmental goods|US Dollars|ECBTG|Trade in Environmental Goods|Environment, Climate Change, Cross-Border, Trade-Related, Trade in Environmental Goods|Not Applicable",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/7_Trade_in_Environmental_Goods.csv,Total trade in environmental goods,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total trade in low carbon technology products as percent of GDP|Percent|ECBTL|Trade in Low Carbon Technology Products|Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products|Not Applicable",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/9_Trade_in_Low_Carbon_Technology_Products.csv,Total trade in low carbon technology products as percent of GDP,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Total trade in low carbon technology products|US Dollars|ECBTL|Trade in Low Carbon Technology Products|Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products|Not Applicable",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/9_Trade_in_Low_Carbon_Technology_Products.csv,Total trade in low carbon technology products,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Trade balance in low carbon technology products as percent of GDP|Percent|ECBTLB|Trade in Low Carbon Technology Products; Trade Balance|Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance|Not Applicable",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/9_Trade_in_Low_Carbon_Technology_Products.csv,Trade balance in low carbon technology products as percent of GDP,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Trade balance in low carbon technology products|US Dollars|ECBTLB|Trade in Low Carbon Technology Products; Trade Balance|Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance|Not Applicable",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/9_Trade_in_Low_Carbon_Technology_Products.csv,Trade balance in low carbon technology products,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Tree-covered areas|1000 HA|ECCCE|Tree-Covered Areas|Environment, Climate Change, Climate and Weather, Land Cover Accounts, Tree-Covered Areas|Climate regulating",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/28_Land_Cover_Accounts.csv,Tree-covered areas,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Vulnerability score,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/21_IMF-Adapted_ND-GAIN_Index.csv,Vulnerability score,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Vulnerability score, Capacity",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/21_IMF-Adapted_ND-GAIN_Index.csv,"Vulnerability score, Capacity",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Vulnerability score, Ecosystems",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/21_IMF-Adapted_ND-GAIN_Index.csv,"Vulnerability score, Ecosystems",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Vulnerability score, Exposure",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/21_IMF-Adapted_ND-GAIN_Index.csv,"Vulnerability score, Exposure",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Vulnerability score, Food",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/21_IMF-Adapted_ND-GAIN_Index.csv,"Vulnerability score, Food",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Vulnerability score, Habitat",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/21_IMF-Adapted_ND-GAIN_Index.csv,"Vulnerability score, Habitat",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Vulnerability score, Heath",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/21_IMF-Adapted_ND-GAIN_Index.csv,"Vulnerability score, Heath",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Vulnerability score, Infrastructure",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/21_IMF-Adapted_ND-GAIN_Index.csv,"Vulnerability score, Infrastructure",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Vulnerability score, Sensitivity",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/21_IMF-Adapted_ND-GAIN_Index.csv,"Vulnerability score, Sensitivity",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Vulnerability score, Water",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/21_IMF-Adapted_ND-GAIN_Index.csv,"Vulnerability score, Water",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Vulnerability|ECFRMV|Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability |Index for Risk Management; Vulnerability",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/15_Climate-driven_INFORM_Risk.csv,Vulnerability,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Wind energy|Total Renewable|Electricity Generation|Gigawatt-hours (GWh)|Electricity Generation|ECNEG|Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/5_Energy_Transition.csv,Electricity Generation,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Wind energy|Total Renewable|Electricity Installed Capacity|Megawatt (MW)|Electricity Installed Capacity|ECNEC|Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/5_Energy_Transition.csv,Electricity Installed Capacity,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Woody crops|1000 HA|ECCCR|Woody Crops|Environment, Climate Change, Climate and Weather, Land Cover Accounts, Woody Crops|Climate regulating",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/28_Land_Cover_Accounts.csv,Woody crops,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Educational attendance boys 12-14,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance boys 12-14,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance boys 15-17,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance boys 15-17,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance boys 18-20,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance boys 18-20,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance boys 21-23,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance boys 21-23,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
